YearsExperience,EducationLevel,JobLevel,Salary
6,1,2,10700.906780560003
19,2,1,10655.644234691836
14,3,3,14018.59449267588
10,4,4,21299.818279417315
7,1,4,14738.165221563266
20,1,3,14752.724234198204
6,4,2,16112.07355594054
18,1,4,17868.214341727147
10,1,1,10622.734931314888
10,2,4,16521.533266538197
20,1,1,15409.346264787577
3,3,3,16419.613516397767
7,3,1,9691.864532737667
2,4,3,15988.82771171784
20,1,1,12861.676709253265
1,4,3,16383.536803558229
11,3,1,9683.137770955811
5,1,2,10334.892627997191
1,1,1,7525.164076329258
20,4,1,12434.268924438395
0,3,2,7970.134677201605
11,1,4,11749.382080031819
11,4,4,18835.067697999795
16,3,1,14311.576060432732
9,4,2,16984.242693772852
15,2,1,11533.370604755595
14,1,3,17111.507982028324
14,2,3,12995.817375213195
18,3,1,10593.911609160721
11,2,4,16620.014141986085
19,2,4,19971.317808090753
2,3,1,8481.149453430633
4,4,1,6758.604219928222
18,2,3,16599.583928876982
6,4,4,15371.954899091264
20,2,1,14205.41058789407
8,4,3,16819.87684297433
6,3,4,14728.216384610761
17,2,2,13315.039548793951
3,3,3,11353.415660599887
13,2,4,17247.17762490829
17,3,4,21659.25617690223
8,3,3,13085.693116596021
20,2,2,16107.28372793212
1,2,3,10365.536286929606
19,2,4,17852.82890192778
14,1,1,9587.345352081797
6,4,1,9256.563819645127
11,1,3,12223.431250375072
7,1,4,11983.819793340073
14,3,1,15916.505239249502
2,2,4,13903.474393549111
13,4,3,16500.494085613347
16,3,1,13405.1638393216
3,1,4,12657.809510556506
17,2,1,11642.2547208402
7,3,3,15645.500060078166
3,2,4,15523.513878085148
1,3,1,7265.09793430105
5,2,3,11563.527166839576
9,1,1,7684.906945127041
3,4,1,6016.541903475947
17,1,2,10212.656088042606
11,4,2,17380.373681400146
1,2,3,14280.94188430231
9,3,2,12531.735128798518
3,1,3,11697.80253350038
13,4,2,16120.250278178364
15,1,1,15641.985455219427
14,4,3,20095.234840582238
7,1,3,11709.74833533462
13,4,1,11640.027206919234
7,4,3,12948.39662353637
20,2,3,17766.234544561
15,4,2,14838.568658488253
12,2,3,12279.943322724186
17,4,4,20076.16880836345
14,3,1,10433.213593494089
20,3,2,19536.854943130616
12,3,2,15526.951562509012
8,4,4,18345.649245630088
14,2,1,13743.899450002047
12,2,1,10579.262953765712
0,4,2,9849.688437609126
6,3,3,16961.62333908538
8,3,2,13630.038078632386
0,2,1,4732.956922212378
11,3,4,17677.390379449505
7,1,2,8163.887143907437
10,2,1,7310.960484264195
18,3,2,17527.119585556953
16,2,3,19556.949952846233
7,1,2,7222.578367125546
2,2,2,10453.344626043028
2,2,1,6068.843375580712
0,2,1,5723.174309223547
4,2,1,6813.690936370036
9,1,2,8824.816614576332
6,4,3,15607.338930300688
8,2,4,14264.289790460132
6,2,4,15606.82228640371
8,3,1,10369.571402991554
7,2,1,8409.893515640462
11,3,2,11986.385408325124
1,4,4,15081.811604977001
0,1,1,6659.704206486361
15,1,3,15401.650937723885
4,4,3,13120.400559362608
2,1,1,6118.798149772607
11,4,1,14072.49682206922
7,4,4,15035.070493981531
2,4,4,17418.048346283882
0,1,2,6307.2772338974755
2,3,4,16167.077603467687
4,4,3,13506.133518223469
14,2,3,12231.212218803867
13,1,1,6530.423611810307
2,4,4,16526.552903990487
0,4,2,11867.500503098667
4,2,3,10652.230074812065
13,3,3,17609.466425799274
6,3,2,9029.263887915873
8,3,2,12541.05636243483
14,4,3,15900.170840427578
14,4,3,16906.695005956113
9,4,2,14365.317608369545
12,1,3,11991.255942488886
18,2,1,11667.800020386314
6,4,1,12931.327056585993
16,2,2,12881.594634858333
19,2,4,20784.245801717254
3,3,2,9026.527661616288
4,1,2,9733.647520247509
6,4,4,20314.82351718422
12,3,4,13891.03989977088
